"word","freq"
"sijil",3
"aceh",3
"jenismerk",3
"penyebutan",3
"gangguan",3
"harapan",3
"lara",3
"odgj",3
"psbl",3
"sentosa",3
"pam",3
"eua",3
"jenawi…",3
"koramiljenawi",3
"satpolpp",3
"lakgiat",2
"sukodono",2
"bukanberitabiasa",2
"hamil",2
"pemprov",2
"sediakan",2
"sindonew",2
"harap",2
"long",2
"not",2
"which",2
"khalid",2
"mat",2
"xmau",2
"faham",2
"ckp",2
"pro",2
"geng",2
"pagar",2
"bangang",2
"pastikan",2
"apaapa",2
"profesor",2
"baraka",2
"enrekang",2
"adik",2
"then",2
"maiwa",2
"kalurahan",2
"hadeh",2
"kenali",2
"lebakuniqu",2
"visitlebak",2
"gapapa",2
"serda",2
"pspbervaksin",2
"tenang",2
"wbp",2
"rifai",2
"kejadian",2
"pasca",2
"pati",2
"infonya",2
"membantu",2
"terbukti",2
"gedung",2
"peikai",2
"pon",2
"aneka",2
"gerak",2
"upaya",2
"membangun",2
"sistem",2
"berita",2
"normal",2
"memilah",2
"repost",2
"me…",2
"antibodi",2
"bikin",2
"fungsinya",2
"pilihpilih",2
"sehari",2
"target",2
"yaa",2
"menteng",2
"pusat",2
"ja…",2
"bajet",2
"deep",2
"memana",2
"peh",2
"semayang",2
"ternampak",2
"sedhereksedherek",2
"balimo",2
"butuh",2
"kayaknya",2
"mas",2
"bgini",2
"dibikin",2
"ribet",2
"woey",2
"biofarma",2
"menu…",2
"berani",2
"emg",2
"gue",2
"skrg",2
"nomermu",2
"pedulilindungi",2
"diberangkatkan",2
"halim",2
"lanud",2
"pesawat",2
"skadron",2
"tenaga",2
"udara",2
"aneh",2
"galeri",2
"hanafi",2
"studio",2
"kucingku",2
"yee",2
"asyifa",2
"rsia",2
"pengennya",2
"cocok",2
"dengerin",2
"kyknya",2
"k…",2
"bgt",2
"gaada",2
"berat",2
"minim",2
"buka",2
"halaman",2
"cimanggi",2
"setiajaya",2
"toyota",2
"w…",2
"jember",2
"meningg",2
"moot",2
"bolehin",2
"justic",2
"mem",2
"ygletlisadoherwork",2
"presisi",2
"halo",2
"dipak",2
"mjb",2
"wkwkw",2
"cikarang",2
"jatibaru",2
"timur",2
"“",2
"dit…",2
"gout",2
"berlagak",2
"bising²",2
"geng²",2
"beempat",2
"fulli",2
"tetep",2
"ikhtiar",2
"case",2
"spike",2
"dak",2
"hat",2
"mak",2
"random",2
"ppkmdemiredakancovid",2
"ber…",2
"ibadah",2
"pesantren",2
"serentak",2
"nek",2
"penuh",2
"comment",2
"paham",2
"berbeza",2
"disyor",2
"heterolog",2
"meneruskan",2
"batu",2
"kera",2
"peliharaan",2
"pemkot",2
"rabi",2
"utamanya",2
"waspada",2
"teh",2
"laa",2
"kah",2
"mask",2
"dkt",2
"paai",2
"titik",2
"zombi",2
"korang",2
"gelar",2
"disarankan",2
"keluarkan",2
"sorang",2
"bosan",2
"rilek",2
"baruka…",2
"barukah",2
"typo",2
"point",2
"vksin",2
"tgl…",2
"ngantuk",2
"pegel",2
"ampuh",2
"jenisnya",2
"bilang",2
"penyebaran",2
"iyaa",2
"awak",2
"lolo",2
"klo",2
"konon",2
"nambahin",2
"seti…",2
"kerasa",2
"nyaa",2
"cansino",2
"pasien",2
"gabisa",2
"nake",2
"baiklah",2
"fask",2
"kasih",2
"bisaa",2
"tel…",2
"coronavirus",2
"respiratori",2
"sepei",2
"syndrom",2
"menyebabkan",2
"ttp",2
"seif…",2
"wi…",2
"ngestiharjo",2
"anticovid",2
"baharu",2
"studi",2
"aya",2
"terhitung",2
"okay",2
"dibaha",2
"jen…",2
"pejuang",2
"pelayanan",2
"diluluskan",2
"global",2
"produk",2
"khami",2
"mengkaji",2
"alhamduli…",2
"cadangan",2
"individu",2
"mengajar",2
"seramai",2
"time",2
"rakyat",2
"sain",2
"nampak",2
"darah",2
"habi",2
"dlm",2
"kese…",2
"sinc",2
"updat",2
"sampingnya",2
"hahahaha",2
"garam",2
"rst",2
"iyaaa",2
"”",2
"kek",2
"ketahui",2
"gresik",2
"koarmada",2
"sman",2
"keychain",2
"efeknya",2
"takda",2
"mmg",2
"bakteri",2
"bayangin",2
"kucinganj",2
"ilang",2
"menjalani",2
"maksim",2
"antivaxx",2
"ta…",2
"kelulusan",2
"mengambil",2
"selepa",2
"tolong",2
"kemenk",2
"bone",2
"modern",2
"pasar",2
"tanjung",2
"bangsa",2
"haram",2
"jadah",2
"tegal",2
"fasa",2
"deni",2
"laut",2
"poli",2
"sebar",2
"kedai",2
"jaya",2
"jiwa",2
"baha",2
"beliau",2
"de…",2
"bape",2
"jatireja",2
"pape",2
"perhari",2
"pucakwangi",2
"diem",2
"samaaa",2
"kejang",2
"aipda",2
"aprinandiosh",2
"binma",2
"mataram",2
"regen",2
"seputih",2
"sinova…",2
"mani",2
"raya",2
"temanteman",2
"alergi",2
"bendo",1
"joko",1
"pendampin…",1
"waliman",1
