"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @JPenerangan: Setiap jenis vaksin yang diterima oleh anda mempunyai fungsi yang sama iaitu mengurangkan risiko jangkitan. Oleh itu, elak…",FALSE,0,NA,2021-10-06 17:10:20,FALSE,NA,"1445798590496972804",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mazuriwatiahmad",194,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 17:04:31,FALSE,NA,"1445797125875396611",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shhrvlAzixiE",201,TRUE,FALSE,NA,NA
"@stuckymood @caratstalk @pledis_17 vaksin jenis astrajuneca, biar menjadi huihui yang kuat",FALSE,0,"stuckymood",2021-10-06 16:49:50,FALSE,"1445790899871563776","1445793432551575557","1318796463049093121","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cwonhoshi",0,FALSE,FALSE,NA,NA
"RT @chanabyun: Program Sentra Vaksin Bersama INTI &amp; DINKES KAB BDG di Pabrik PT INTI Palasari, Jalan Moch Toha No.225 mulai tanggal 24 Sept…",FALSE,0,NA,2021-10-06 16:42:47,FALSE,NA,"1445791656540737536",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amrsto1",6,TRUE,FALSE,NA,NA
"Khalid : vaksin kena ada jaminan, kalau amik vaksin ni xkena covid. Habeh tu bapak aku makan sekali jenis ubat dara… https://t.co/uqPMpjYfMU",FALSE,0,NA,2021-10-06 16:36:28,TRUE,NA,"1445790067180507143",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haejaloucious",0,FALSE,FALSE,NA,NA
"Naya mat khalid malam ni,apa kebenda dia merapu mat oi,main bab akal nak dok kalah dah,tp tetap stay memang jenis xmau ambk vaksin,noob",FALSE,1,NA,2021-10-06 16:30:22,FALSE,NA,"1445788534359539723",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mat_atip",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 16:26:54,FALSE,NA,"1445787661885640707",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hafizfarhannn",201,TRUE,FALSE,NA,NA
"so @khalids ni antivax tegar yang menolak semua jenis vaksin. Faham <U+0001F481><U+0001F3FB><U+200D><U+2640><U+FE0F>",FALSE,0,NA,2021-10-06 16:21:23,FALSE,NA,"1445786273818365964",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsnailamohdnor",0,FALSE,FALSE,NA,NA
"So dia ni against bcg semua tu ke.. i mean semua jenis vaksin?",FALSE,0,NA,2021-10-06 16:20:30,FALSE,NA,"1445786050673053696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aliantsy",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 16:18:58,FALSE,NA,"1445785663521968140",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noraahasana",201,TRUE,FALSE,NA,NA
